Disease,Microorganism,cases_1956,cases_1957,cases_1958,cases_1959,cases_1960,cases_1961,cases_1962,cases_1963,cases_1964,cases_1965,cases_1966,cases_1967,cases_1968,cases_1969,cases_1970,cases_1971,cases_1972,cases_1973,cases_1974,cases_1975,cases_1979,cases_1985,cases_1989,cases_1995,cases_1999,cases_2000,cases_2001,cases_2002,cases_2003,cases_2004,cases_2005,cases_2006,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019
Shiga toxin-producing Escherichia coli (STEC) ,bacterium,,,,,,,,,,,,,,,,,,,,,,,,,4513,,,,,,,4432,4847,5309,4643,5476,6047,6463,6663,6179,7059,8169,8672,15996,16939
Shigellosis ,bacterium,10306,9822,11861,12888,12487,12571,12443,13009,12984,11027,11888,13474,12180,11946,13845,16143,20207,22642,22600,16548,20135,17057,25010,32080,17521,22922,20221,23541,23581,14627,16168,15503,19758,22625,15931,14786,13352,15283,12729,20745,23590,21097,14912,16333,18574
"Spotted fever rickettsiosis, Total ",bacterium,293,240,243,199,204,219,240,216,277,281,,,,498,,,,,,,1070,714,623,590,579,495,695,1104,1091,1713,1936,2288,2221,2563,1815,1985,2802,4470,3359,3757,4198,4269,6248,5544,5207
Streptococcal toxic shock syndrome ,bacterium,,,,,,,,,,,,,,,,,,,,,,,,,61,83,77,118,161,132,129,125,132,157,161,142,168,194,224,259,335,283,372,371,416
"Syphilis, Total, all stages ****",bacterium,130168,123758,113894,120766,122003,124658,126245,124137,114314,112842,105159,102581,96271,92162,91382,95997,91149,87469,83771,80356,24874,27131,45399,68953,35628,31575,32221,32871,34270,33401,33278,36935,40920,46277,44828,45828,46042,49903,56471,63450,74702,88042,101567,115045,129813
Tetanus ,bacterium,468,447,445,445,368,379,322,325,289,300,235,263,178,192,148,116,128,101,101,102,81,83,,41,40,35,37,6862,20,34,27,41,28,19,18,26,36,37,26,25,29,34,33,23,26
Toxic shock syndrome (other than Streptococcal) ,bacterium,,,,,,,,,,,,,,,,,,,,,,384,,191,113,135,127,25,133,95,90,101,92,71,74,82,78,65,71,59,64,40,30,33,44
Trichinellosis ,parasite,262,178,176,227,160,306,194,208,198,199,115,66,77,215,109,103,89,102,120,201,157,61,30,29,12,16,22,109,6,5,16,15,5,39,13,7,15,18,22,13,14,26,15,1,7
Tuberculosis ,bacterium,68866,66437,63000,75484,55494,53727,53788,54062,50874,49000,47767,45647,42623,39120,37137,35217,32882,30998,30122,33554,,22201,23495,22860,17531,16377,15989,15075,14874,14517,14097,13779,13299,12904,11545,11182,10528,9945,9582,9421,9557,9272,9105,9025,8916
Tularemia ,bacterium,522,601,587,459,390,365,328,327,342,264,208,184,186,149,172,187,152,171,144,129,196,177,152,,,142,129,90,129,134,154,95,137,123,93,124,166,149,203,180,314,230,239,229,274
Typhoid fever,bacterium,1700,1231,1043,859,816,814,608,566,501,454,378,396,395,364,346,407,398,680,437,375,528,402,460,369,346,377,368,231,356,322,324,353,434,449,397,467,390,354,338,349,367,376,419,401,
Vancomycin-intermediate Staphylococcus aureus ,bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,37,63,78,91,82,134,248,212,183,108,109,85,76
Vancomycin-resistant Staphylococcus aureus ,bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,1,2,,2,,,3,,3,,3
Varicella morbidity (chicken pox),virus,,,,,,,,,,,,,,,,,164114,182927,141495,154248,199081,178162,185441,120624,46016,27382,22536,22841,20948,32931,32242,48445,40146,30386,20480,15427,14513,13447,11359,10172,9789,8953,8775,8201,8297
Varicella mortality (chicken pox),virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,9,3,,6,2,2,4,5,3,3,4,6,3,2,6,6
"Vibriosis, Total ",bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,588,789,846,832,1111,1299,1261,1323,1273,2085,2964,2851
"Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viral hemorrhagic fevers, Ebola virus ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viral hemorrhagic fevers, Guanarito virus ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viral hemorrhagic fevers, Junin virus ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viral hemorrhagic fevers, Lassa virus ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viral hemorrhagic fevers, Lujo virus ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viral hemorrhagic fevers, Machupo virus ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viral hemorrhagic fevers, Marburg virus ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viral hemorrhagic fevers, Sabia virus ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow fever ,virus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,
"Zika virus, Zika virus disease, congenital",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,2,
"Zika virus, Zika virus disease, non-congenital ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5132,497,79,28
"Zika virus, Zika virus infection, congenital",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,17,8,
"Zika virus, Zika virus infection, non-congenital ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,641,245,177
